mann,expansion_coeff,alpha_method,sf_method,max_abs,mean_abs,rmse
1.54,0.1,area,combined,1.4188125810279644,0.458135597780597,0.6743154639860217
1.54,0.1,area,avg,1.7752571558239651,0.8987801572160834,1.1315512044172034
1.56,0.0,conveyance,combined,2.2216882958346105,1.0886837869992405,1.3734217952336676
1.56,0.0,conveyance,avg,1.7941419615249288,0.9176649613426207,1.146608625971536
1.56,0.0,area,combined,2.2315925629466165,1.0926454938440429,1.378862297982684
1.56,0.0,area,avg,1.7941419616513485,0.9176649614437565,1.146608626071132
1.56,0.02,conveyance,combined,2.2513587287614882,1.1005519601699916,1.389740763079316
1.56,0.02,conveyance,avg,1.7941419626686184,0.9176649622575723,1.1466086268725553
1.56,0.02,area,combined,2.260956756467067,1.1043911712522232,1.3950329224635591
1.56,0.02,area,avg,1.7941419627975392,0.917664962360709,1.1466086269741214
1.56,0.05,conveyance,combined,2.291851423494336,1.1167490380631306,1.412110136084149
1.56,0.05,conveyance,avg,1.7941419643816516,0.917664963627999,1.1466086282221137
1.56,0.05,area,combined,1.4376973788567966,0.4694664764778963,0.6917336574667068
1.56,0.05,area,avg,1.7941419645139831,0.9176649637338642,1.1466086283263668
1.56,0.1,conveyance,combined,1.4376973788567966,0.4694664764778963,0.6825063193458182
1.56,0.1,conveyance,avg,1.794141719938807,0.9176647680737233,1.1466084356456399
1.56,0.1,area,combined,1.4376973788567966,0.4694664764778963,0.6823932547522009
1.56,0.1,area,avg,1.7941417202155208,0.9176647682950942,1.14660843586364
1.58,0.0,conveyance,combined,2.263519947731538,1.1167470346471418,1.4010429771672712
1.58,0.0,conveyance,avg,1.813026534201299,0.9365495790494606,1.1617776885912479
1.58,0.0,area,combined,2.273073249564959,1.1205683553805101,1.4063011725207912
1.58,0.0,area,avg,1.8130265343994552,0.9365495792079855,1.1617776887478974
1.58,0.02,conveyance,combined,2.291582623612271,1.1279720065084349,1.4165065818626104
1.58,0.02,conveyance,avg,1.8130265365209652,0.9365495809051936,1.1617776904250265
1.58,0.02,area,combined,2.3008761208820943,1.131689405416364,1.4216394375233306
1.58,0.02,area,avg,1.813026536722873,0.9365495810667198,1.1617776905846418
1.58,0.05,conveyance,combined,1.456581210561808,0.48079696872564454,0.69810665161739
1.58,0.05,conveyance,avg,1.8130265399946666,0.9365495836841546,1.161777693171111
1.58,0.05,area,combined,1.456581210561808,0.48079696872564454,0.6976289888610129
1.58,0.05,area,avg,1.8130265402019177,0.9365495838499556,1.1617776933349504
1.58,0.1,conveyance,combined,1.4565812264415854,0.48079697507755553,0.6914216853606053
